,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature,track_name,artist_name,most_common_genre,min_lyrics_sentiment,max_lyrics_sentiment,avg_lyrics_sentiment
106,0.583,0.938,4,-5.665,0,0.299,0.0275,0.0,0.79,150.011,193987,4,No Pachanga Naninga,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
107,0.728,0.7190000000000001,0,-9.07,1,0.081,0.0563,0.0,0.7559999999999999,138.161,219667,4,No Soy Dios Para Perdonar,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
108,0.645,0.87,5,-5.757999999999999,1,0.0399,0.0609,0.0,0.894,150.102,247627,4,Si yo fuera mujer,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
109,0.604,0.856,4,-4.6339999999999995,0,0.0824,0.0258,0.0,0.589,154.186,168387,4,Si te vas,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
110,0.652,0.812,7,-4.585,0,0.0453,0.469,0.0,0.6809999999999999,150.17700000000002,248987,4,Dueño de tu sueño,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
111,0.7490000000000001,0.9009999999999999,9,-3.8989999999999996,1,0.222,0.321,0.0,0.831,76.541,208307,4,El sangrión,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
112,0.387,0.7440000000000001,4,-6.502000000000001,1,0.0663,0.215,0.0,0.7290000000000001,138.856,269200,4,Abusadora,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
113,0.512,0.392,7,-11.190999999999999,0,0.0301,0.319,0.0,0.7020000000000001,143.22,201822,4,Ella a Él,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
114,0.57,0.638,7,-8.107999999999999,0,0.0318,0.43799999999999994,0.0,0.784,141.739,217053,4,La Mona Es Como Usted - Live,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
115,0.706,0.7090000000000001,7,-8.34,1,0.0333,0.349,0.0,0.943,139.798,203827,4,El Divorcio,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
116,0.763,0.597,0,-9.128,0,0.0473,0.155,0.0,0.635,117.068,320627,4,Bobby,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
117,0.629,0.599,11,-7.864,1,0.027999999999999997,0.35100000000000003,0.0,0.852,138.05200000000002,216267,4,El tordo,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
118,0.63,0.564,0,-8.453,0,0.0288,0.40399999999999997,0.0,0.866,146.692,208067,4,Tu Príncipe Azul,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
119,0.595,0.887,7,-5.364,0,0.0347,0.0585,0.0,0.71,147.02100000000002,231640,4,Celosa,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
120,0.637,0.907,1,-5.523,1,0.0315,0.024,0.0,0.914,154.04399999999998,192040,4,La Chica De La Mochila,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
121,0.586,0.89,9,-5.5920000000000005,0,0.0933,0.0668,0.0,0.695,147.059,214560,4,Telegrama De Despido,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
122,0.669,0.895,9,-3.8760000000000003,0,0.105,0.168,0.0,0.852,152.04,250467,4,El Renegado,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
123,0.69,0.836,0,-4.221,1,0.028999999999999998,0.105,2.18e-06,0.657,147.004,191640,4,Locura Total,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
124,0.617,0.823,7,-3.575,0,0.0388,0.109,0.0,0.765,145.989,266640,4,Mary La Del Burdel,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
125,0.629,0.809,2,-5.557,1,0.0649,0.0703,0.0,0.6890000000000001,146.989,245000,4,La Luna,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
126,0.6509999999999999,0.897,0,-5.047,0,0.04,0.0931,0.0,0.706,147.111,220200,4,Te Aprendi A Amar,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
127,0.57,0.9279999999999999,0,-4.2669999999999995,1,0.159,0.064,0.0,0.623,151.972,279013,4,Solo Contigo (Entre Tu Cuerpo Y El Mio),La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
128,0.637,0.8909999999999999,4,-4.039,0,0.0512,0.11,0.0,0.636,148.16899999999998,221787,4,El Rockero Miguel,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
129,0.631,0.94,5,-4.34,0,0.0761,0.19399999999999998,0.0,0.8170000000000001,150.07299999999998,286493,4,Lluvia,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
130,0.6890000000000001,0.763,2,-5.74,0,0.131,0.175,0.0,0.7909999999999999,109.96700000000001,248947,4,Cárcel a un valiente,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
131,0.586,0.7759999999999999,0,-5.461,0,0.0315,0.0831,0.0,0.597,148.033,194467,4,Me muero por ella,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
132,0.7390000000000001,0.449,7,-18.622,0,0.0484,0.126,0.0,0.8240000000000001,140.028,242808,4,Destino Cruel,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
133,0.775,0.461,0,-15.522,1,0.05,0.11,6.27e-06,0.6970000000000001,140.076,209450,4,Tengo Tu Amor,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
